n,d,sqrt_n,d_over_sqrt_n,relative_norm_mean,relative_norm_std,abs_norm_mean
1000,274,31.622776601683793,8.664640788861359,0.8990687208847443,0.15118573130208107,0.8658115630411327
1000,324,31.622776601683793,10.24577961894555,0.8473353662384747,0.11851479542266564,0.7515723900014489
1000,374,31.622776601683793,11.826918449029739,0.8395805858321659,0.06511063613002131,0.728075538729197
1000,424,31.622776601683793,13.408057279113928,0.806304464381984,0.11814656433146566,0.7636962064397356
1000,474,31.622776601683793,14.989196109198119,0.7980691461961043,0.10455586480918341,0.6408340663317034
1000,524,31.622776601683793,16.570334939282308,0.7958535890168986,0.07532606232928331,0.9092747271128445
1000,574,31.622776601683793,18.151473769366497,0.8411885789680336,0.07301460753309874,1.040981553711547
1000,624,31.622776601683793,19.732612599450686,0.7736977069963098,0.09136502365402485,0.6609384486520616
1000,674,31.622776601683793,21.31375142953488,0.8479736920333533,0.06548937417888416,0.9319570110601623
1000,724,31.622776601683793,22.894890259619068,0.8080299781418484,0.07054627973348891,0.8240452798437474
1000,774,31.622776601683793,24.476029089703257,0.8021358741036625,0.09716990602529096,0.7505543500792405
1000,824,31.622776601683793,26.057167919787446,0.8065802005531492,0.06832300332836616,0.8122311738347097
1000,874,31.622776601683793,27.638306749871635,0.8527642579579335,0.04756836254958449,0.7541617497050364
2000,6,44.721359549995796,0.13416407864998736,0.7105792769446447,0.36113730092049984,2.5116485503613033
2000,11,44.721359549995796,0.24596747752497686,0.3691562986072265,0.11367973150956633,0.3536252542774302
2000,16,44.721359549995796,0.35777087639996635,0.4827977656642073,0.14112508248919348,0.37214579771513956
2000,21,44.721359549995796,0.4695742752749558,0.668419402769036,0.2106934722806602,0.6289196592003794
2000,22,44.721359549995796,0.4919349550499537,0.6499699224370901,0.1692305812001536,0.6364476278797002
2000,29,44.721359549995796,0.648459713474939,0.8018191797289942,0.20539960253140224,0.7399299238001864
2000,36,44.721359549995796,0.8049844718999243,0.8668638653234251,0.2598919058300429,0.8175739235724974
2000,43,44.721359549995796,0.9615092303249095,0.9659387348835541,0.1672610273744169,1.1182565228773218
2000,50,44.721359549995796,1.118033988749895,0.9199583042446869,0.09790423644938519,0.6668456678930003
2000,57,44.721359549995796,1.27455874717488,1.0415984256077087,0.2188180246503023,1.0958855087540127
2000,64,44.721359549995796,1.4310835055998654,0.9854817876936167,0.0906161432318155,0.9786273907159806
2000,71,44.721359549995796,1.5876082640248506,1.1189010766010359,0.20558279706775395,1.10215682240655
2000,78,44.721359549995796,1.744133022449836,1.0576786508876714,0.08822168670068914,1.05166879859286
2000,85,44.721359549995796,1.900657780874821,1.067083761512041,0.11692635368807103,0.8764963613700651
2000,92,44.721359549995796,2.057182539299806,1.030632804326076,0.18740616113478586,1.0589467720720118
2000,99,44.721359549995796,2.213707297724792,1.0842725988693438,0.12837378707897493,0.9693076205233618
2000,106,44.721359549995796,2.370232056149777,1.0472230028965543,0.2135301780465127,0.9173583312193697
2000,113,44.721359549995796,2.526756814574762,1.085236679975602,0.1645129321772972,0.9868414582387958
2000,120,44.721359549995796,2.6832815729997477,1.1250996149296837,0.15503440279595315,1.0905969957010535
2000,127,44.721359549995796,2.839806331424733,1.054408525631707,0.15447500787336552,0.9921022091859163
2000,134,44.721359549995796,2.996331089849718,1.1474505529384205,0.16062715201561784,1.1175015823050027
2000,141,44.721359549995796,3.152855848274703,1.063119007719952,0.23359570574844518,0.971896579196786
2000,148,44.721359549995796,3.3093806066996887,1.1019508155128652,0.1133816029978274,0.9889568797127956
2000,155,44.721359549995796,3.465905365124674,1.0783049253896873,0.23372053992788633,1.0447285636566623
2000,162,44.721359549995796,3.622430123549659,1.1436993312351134,0.18123062928819259,1.299699706711666
2000,169,44.721359549995796,3.7789548819746446,1.1010129576027847,0.13458818580371434,1.154721641471635
2000,176,44.721359549995796,3.9354796403996297,1.049992194834136,0.15103936614665348,1.0199717763111649
2000,276,44.721359549995796,6.171547617899419,0.9816087303773828,0.1321540360157023,0.9454678422207372
2000,376,44.721359549995796,8.407615595399209,0.9749808027041496,0.08954981507364647,1.0379159067503128
2000,476,44.721359549995796,10.643683572898999,0.9238168210385787,0.14995548983424528,0.9407870015059684
2000,576,44.721359549995796,12.879751550398788,0.86493292747543,0.0974652689858938,0.7222801234710918
2000,676,44.721359549995796,15.115819527898578,0.878712736067407,0.14127975447777538,0.8002281022295248
2000,776,44.721359549995796,17.351887505398366,0.8525030804915463,0.10665178917370015,0.9452673793521249
2000,876,44.721359549995796,19.587955482898156,0.7817881391637058,0.08756226437270748,0.740937308176922
2000,976,44.721359549995796,21.824023460397946,0.7640823478393948,0.06480446283169358,0.6756836391337805
2000,1076,44.721359549995796,24.060091437897736,0.7568749454405658,0.11262525996326231,0.6754060816175799
2000,1176,44.721359549995796,26.296159415397526,0.7505320567057268,0.09404901231966295,0.6375871649452509
2000,1276,44.721359549995796,28.532227392897315,0.8069416303888535,0.09699871469078834,0.7402479067814272
2000,1376,44.721359549995796,30.768295370397105,0.7725006248558062,0.10433951461629182,0.7655161871692105
2000,1476,44.721359549995796,33.00436334789689,0.7625001887955953,0.07688558635882231,0.6709394885902088
2000,1576,44.721359549995796,35.240431325396685,0.7904608826602538,0.06204590657063396,0.7769023724312053
2000,1676,44.721359549995796,37.47649930289647,0.780364491353844,0.0930418138561879,0.7254260992285148
2000,1776,44.721359549995796,39.712567280396264,0.78281412066194,0.04378256604406273,0.7595929828765301
